10	3
10 Things I Hate About You	2
127 Hours	4
12 Angry Men	5
12 Monkeys	4
13 Going on 30	1
1984	4
2001: A Space Odyssey	5
2010: The Year We Make Contact	4
2012	3
2046	4
24	3
24 Hour Party People	4
25th Hour	4
27 Dresses	2
28 Days Later	4
2 Fast 2 Furious	3
300	3
30 Days of Night	2
30 Minutes or Less	2
30 Rock	4
30-Second Bunnies Theatre	2
3:10 to Yuma	3
3	2
3rd Rock from the Sun	1
40 Days and 40 Nights	2
48 Hrs.	3
(500) Days of Summer	5
50 First Dates	4
9 1/2 Weeks	2
A Beautiful Mind	2
About a Boy	4
Above the Law	3
A Boy and His Dog	3
A Bridge Too Far	3
Absolute Power	3
Ace Ventura: Pet Detective	4
Ace Ventura: When Nature Calls	3
A Clockwork Orange	5
A Couch in New York	4
Adam's Rib	2
Adaptation.	5
Addicted to Love	3
Adventureland	4
Aeon Flux	2
A Few Good Men	4
A Fish Called Wanda	4
A Fistful of Dollars	4
After Hours	5
A Good Year	3
Aguirre: The Wrath of God	3
A.I. Artificial Intelligence	2
Air Force One	1
Airplane!	4
Akira	5
A Knight's Tale	4
Alfie	3
Alias	2
Alice	2
Alien 3: Collector's Edition	3
Alien: Collector's Edition	5
Alien: Resurrection: Collector's Edition	2
Aliens: Collector's Edition	5
Aliens vs. Predator 2	2
Alien vs. Predator	2
A Life Less Ordinary	3
Ali G Indahouse	4
All About Eve	4
All That Jazz	4
All the President's Men	5
Almost Famous	4
Along Came Polly	3
A Lot Like Love	4
Altered States	4
Always	4
Amadeus	5
Amelie	4
American Beauty	4
American Dad!	2
American Gangster	3
American History X	4
American Ninja	1
American Pie 2	2
American Pie	3
American Psycho	3
American Splendor	3
American Wedding	2
America's Sweethearts	1
A Midsummer Night's Sex Comedy	3
Amores Perros	4
An Affair to Remember	5
Analyze That	3
Analyze This	4
Anchorman: The Legend of Ron Burgundy	3
An Education	4
An Evening with Kevin Smith 2	3
An Evening With Kevin Smith	4
Angel	4
Angel-A	3
Angel Heart: Special Edition	3
Angels in America	4
Anger Management	2
A Nightmare on Elm Street	4
Anna Karenina	2
Annie Hall	4
Another 9 1/2 Weeks	1
Another Earth	3
Antitrust	4
Antz	2
Any Given Sunday	2
A Perfect World	5
Apocalypse Now	5
Apocalypse Now / Apocalypse Now Redux	4
Apocalypse Now Redux	4
Apocalypse Now Redux	4
Apollo 13	4
Appaloosa	2
Appleseed	3
Appleseed: Ex Machina	3
Aqua Teen Hunger Force	5
Arbitrage	3
Archer	4
Argo	4
Arizona Dream	3
Arj Barker: LYAO	3
Arlington Road	2
Armageddon	3
Arrested Development	5
Arsenic and Old Lace	4
Art School Confidential	3
A Scanner Darkly	4
A Serious Man	4
As Good as It Gets	3
Ashes of Time Redux	4
A Short Film About Killing	5
A Short Film About Love	5
A Shot in the Dark	4
A Simple Plan	3
Ask the Dust	1
Assault on Precinct 13	3
Assault on Precinct 13	3
A Time to Kill	3
Atonement	4
Attack the Block	3
Audition	4
Austin Powers in Goldmember	4
Austin Powers: Int'l Man of Mystery	4
Austin Powers: The Spy Who Shagged Me	4
Avalon	2
Avatar	4
Avatar: The Last Airbender	4
Awakenings	3
A Walk in the Clouds	3
Away We Go	3
Babel	4
Baby's Day Out	3
Backbeat	4
Back to the Future	4
Back to the Future Part II	4
Back to the Future Part III	3
Bad Education	4
Bad Lieutenant	4
Bad Lieutenant: Port of Call New Orleans	4
Bad Santa	4
Bananas	4
Band of Brothers	5
Barbarella	3
Barney's Version	3
Barton Fink	4
BASEketball	3
Basic	2
Basic Instinct 2	2
Basic Instinct	4
Batman	4
Batman Begins	4
Batman Forever	3
Batman Returns	4
Batman & Robin	1
Batman: The Animated Series	4
Batman: Under The Red Hood	4
Battlefield Earth	1
Battle of the X-Planes: Nova	3
Battle Royale	3
Battlestar Galactica	5
Battlestar Galactica: Razor	3
Bean: The Movie	1
Beautiful Girls	4
Bedazzled	4
Bee Movie	2
Beetlejuice	4
Before Sunrise	5
Before Sunset	5
Before the Devil Knows You're Dead	3
Beginners	3
Being John Malkovich	5
Being There	5
Be Kind Rewind	3
Beowulf	2
Beowulf: Director's Cut	1
Bernie	4
Beverly Hills, 90210	3
Beverly Hills Cop	2
Beverly Hills Cop II	2
Beverly Hills Cop III	2
Bewitched	2
Bicentennial Man	2
Big	3
Big Bang Theory	2
Big Daddy	3
Big Fish	3
Bigger, Stronger, Faster	4
Big Man Japan	3
Big Trouble in Little China	4
Bill & Ted's Bogus Journey	2
Bill & Ted's Excellent Adventure	2
Billy Elliot	4
Bird	4
Bird on a Wire	2
Birdy	4
Black Book	4
Black Hawk Down	2
Black Swan	4
Blade	2
Blade 2	2
Blade	3
Blade Runner: Theatrical Cut	5
Blade Runner: Theatrical & Director's Cut	5
Blade Runner: The Final Cut	5
Blades of Glory	2
Blade: Trinity	2
Bleach	5
Blood Simple	4
Bloodsport	2
Blood: The Last Vampire	3
Bloody Sunday	4
Blow	4
Blow Dry	2
Blow Up	5
Blue	5
Blues Brothers 2000	2
Blue Valentine	3
Bobby Jones, Stroke of Genius	3
Body Shots	2
Body Snatchers	3
Bones	3
Bonnie and Clyde	3
Boogie Nights	4
Borat	3
Bottle Rocket	3
Bourne Legacy	3
Bowling for Columbine	3
Boys Don't Cry	3
Boyz N the Hood	3
Bram Stoker's Dracula	4
Braveheart	5
Brazil	5
Brazil: The "Love Conquers All" Version	5
Breakdown	4
Breakfast at Tiffany's	5
Breaking Bad	4
Breathless	5
Brick	5
Bridget Jones's Diary	3
Bridge to Terabithia	2
Bright Star	3
Bringing Out the Dead	4
Bringing Up Baby	3
Brokeback Mountain	3
Broken Arrow	1
Brothers	3
Brubaker	3
Bruce Almighty	4
Bubble Boy	2
Buffalo '66	5
Buffy the Vampire Slayer	4
Buffy the Vampire Slayer: The Movie	1
Bugsy	3
Bull Durham	4
Bullets Over Broadway	5
Bullitt	3
Burn After Reading	3
Burn Notice	3
Butch Cassidy and the Sundance Kid	5
Cabin in the Woods	3
Cach	5
Caddyshack	3
Can't Buy Me Love	3
Cape Fear	3
Captain America	2
Captain Corelli's Mandolin	3
Carnage	3
Carrie	4
Carrington	4
Casablanca	5
Cashback	3
Casino Royale	5
Cast Away	4
Castle	3
Catch Me If You Can	3
Catfish	3
Catwoman	1
Cellular	4
Change Up	2
Chaos Theory	3
Charade	4
Chariots of Fire	5
Charlie and the Chocolate Factory	3
Charlie Murphy: I Will Not Apologize	1
Charlie's Angels	2
Charlie's Angels: Full Throttle	4
Charlotte Sometimes	3
Chasing Amy	5
Cheers	4
Chicago	3
Children of Men	4
Chinatown	5
Chocolat	4
Choke	2
Chri	4
Chuck	3
Cinderella Man	3
Citizen Kane	4
City of Angels	2
City of Ember	3
City of God	3
City of Men	4
City Slickers	2
Clash of the Titans	2
Clear and Present Danger	3
Clerks	4
Clerks: Tenth Anniversary Edition	4
Click	2
Climates	5
Close Encounters of the Third Kind	3
Close Encounters of the Third Kind	3
Closer	5
Cloverfield	4
Clueless	3
Cocoon	3
Cocoon: The Return	3
Coffee and Cigarettes	3
Cold Mountain	4
Cold Souls	2
Collateral	3
Color of Night	4
Comedy Bang Bang	3
Community	4
Con Air	2
Conan the Barbarian	4
Conan the Destroyer	2
Confessions of a Dangerous Mind	5
Conspiracy Theory	1
Constantine	2
Contact	4
Cop Land	2
Cop Out	1
Copycat	4
Coraline	3
Corpse Bride	2
Cosmopolis	2
Couples Retreat	1
Coupling	5
Courage Under Fire	2
Cowboy Bebop Remix	5
Cowboy Bebop: The Movie	5
Coyote Ugly	2
Crash	4
Crash	4
C.R.A.Z.Y.	4
Crazy, Stupid, Love	4
Crimson Tide	4
Crocodile Dundee	2
Crocodile Dundee in Los Angeles	1
Crossing the Bridge: The Sound of Istanbul	4
Crouching Tiger, Hidden Dragon	4
Croupier	4
Cruel Intentions	4
CSI: Miami	1
CSI: NY	3
Cube 2: Hypercube	1
Cube	3
Curb Your Enthusiasm	3
Curse of the Golden Flower	2
Cyrano de Bergerac	4
Dances with Wolves	4
Dangerous Liaisons	5
Dark City	5
Darkman	3
Dark Water	3
Das Boot: Director's Cut	4
Date Night	3
Dawson's Creek	4
Dawson's Creek: Series Finale	3
Daybreakers	3
Daylight	3
Days of Thunder	4
Dead Alive	4
Dead Man	5
Dead Man Walking	3
Dead Poets Society	5
Dead Space: Aftermath	4
Dead Space: Downfall	1
Death and the Maiden	5
Death at a Funeral	2
Death Becomes Her	3
Death Note	5
Death on the Nile	3
Death Race 2000	3
Death to Smoochy	2
Deconstructing Harry	4
